name,x,y,width
normal,200,50,25
normal,250,75,25
normal,150,175,25
normal,300,125,25
normal,300,200,25
normal,150,100,25
normal,200,300,25
normal,250,325,25
wall,0,50,25
wall,0,75,25
wall,0,100,25
wall,0,125,25
wall,0,150,25
wall,0,175,25
wall,0,200,25
wall,0,225,25
wall,0,250,25
wall,0,275,25
wall,0,300,25
wall,0,325,25
wall,25,50,25
wall,25,75,25
wall,25,100,25
wall,25,125,25
wall,25,150,25
wall,25,175,25
wall,25,200,25
wall,25,225,25
wall,25,250,25
wall,25,275,25
wall,25,300,25
wall,25,325,25
wall,50,50,25
wall,50,75,25
wall,50,100,25
wall,50,125,25
wall,50,150,25
wall,50,175,25
wall,50,200,25
wall,50,225,25
wall,50,250,25
wall,50,275,25
wall,50,300,25
wall,50,325,25
wall,75,50,25
wall,75,75,25
wall,75,100,25
wall,75,125,25
wall,75,150,25
wall,75,175,25
wall,75,200,25
wall,75,225,25
wall,75,250,25
wall,75,275,25
wall,75,300,25
wall,75,325,25
wall,100,100,25
wall,100,125,25
wall,100,225,25
wall,100,250,25
wall,125,50,25
wall,125,175,25
wall,125,300,25
wall,125,325,25
wall,150,275,25
wall,150,300,25
wall,150,325,25
wall,175,50,25
wall,175,75,25
wall,175,150,25
wall,175,175,25
wall,175,200,25
wall,175,225,25
wall,175,275,25
wall,175,300,25
wall,175,325,25
wall,200,150,25
wall,200,175,25
wall,200,200,25
wall,200,225,25
wall,225,50,25
wall,225,175,25
wall,225,300,25
wall,225,325,25
wall,250,125,25
wall,250,225,25
wall,275,50,25
wall,275,75,25
wall,275,125,25
wall,275,150,25
wall,275,175,25
wall,275,200,25
wall,275,225,25
wall,300,50,25
wall,300,75,25
wall,300,275,25
wall,300,300,25
wall,300,325,25
wall,325,50,25
wall,325,75,25
wall,325,100,25
wall,325,125,25
wall,325,150,25
wall,325,175,25
wall,325,200,25
wall,325,225,25
wall,325,250,25
wall,325,275,25
wall,325,300,25
wall,325,325,25
wall,350,50,25
wall,350,75,25
wall,350,100,25
wall,350,125,25
wall,350,150,25
wall,350,175,25
wall,350,200,25
wall,350,225,25
wall,350,250,25
wall,350,275,25
wall,350,300,25
wall,350,325,25
wall,375,50,25
wall,375,75,25
wall,375,100,25
wall,375,125,25
wall,375,150,25
wall,375,175,25
wall,375,200,25
wall,375,225,25
wall,375,250,25
wall,375,275,25
wall,375,300,25
wall,375,325,25
wall,400,50,25
wall,400,75,25
wall,400,100,25
wall,400,125,25
wall,400,150,25
wall,400,175,25
wall,400,200,25
wall,400,225,25
wall,400,250,25
wall,400,275,25
wall,400,300,25
wall,400,325,25
wall,425,50,25
wall,425,75,25
wall,425,100,25
wall,425,125,25
wall,425,150,25
wall,425,175,25
wall,425,200,25
wall,425,225,25
wall,425,250,25
wall,425,275,25
wall,425,300,25
wall,425,325,25
wall,450,50,25
wall,450,75,25
wall,450,100,25
wall,450,125,25
wall,450,150,25
wall,450,175,25
wall,450,200,25
wall,450,225,25
wall,450,250,25
wall,450,275,25
wall,450,300,25
wall,450,325,25
wall,475,50,25
wall,475,75,25
wall,475,100,25
wall,475,125,25
wall,475,150,25
wall,475,175,25
wall,475,200,25
wall,475,225,25
wall,475,250,25
wall,475,275,25
wall,475,300,25
wall,475,325,25
wall,150,50,25
wall,150,75,25
wall,100,50,25
wall,100,75,25
wall,100,150,25
wall,100,175,25
wall,100,200,25
wall,100,275,25
wall,100,300,25
wall,100,325,25
wall,125,75,25
wall,125,100,25
wall,125,125,25
wall,125,150,25
wall,125,200,25
wall,125,225,25
wall,125,250,25
wall,125,275,25
wall,175,125,25
wall,200,125,25
wall,225,75,25
wall,225,100,25
wall,225,125,25
wall,225,150,25
wall,225,200,25
wall,225,225,25
wall,225,250,25
wall,225,275,25
wall,250,150,25
wall,250,175,25
wall,250,200,25
wall,275,275,25
wall,275,300,25
wall,275,325,25
final,225,0,25
