name,x,y,width
normal,0,75,25
normal,0,100,25
normal,0,250,25
normal,0,275,25
normal,25,75,25
normal,25,100,25
normal,25,250,25
normal,25,275,25
normal,50,75,25
normal,50,100,25
normal,50,125,25
normal,50,150,25
normal,50,175,25
normal,50,200,25
normal,50,225,25
normal,50,250,25
normal,50,275,25
normal,75,75,25
normal,75,100,25
normal,75,125,25
normal,75,150,25
normal,75,175,25
normal,75,200,25
normal,75,225,25
normal,75,250,25
normal,75,275,25
normal,100,75,25
normal,100,100,25
normal,100,125,25
normal,100,225,25
normal,100,250,25
normal,100,275,25
normal,125,75,25
normal,125,100,25
normal,125,125,25
normal,125,150,25
normal,125,175,25
normal,125,200,25
normal,125,225,25
normal,125,250,25
normal,125,275,25
normal,150,75,25
normal,150,100,25
normal,150,125,25
normal,150,150,25
normal,150,175,25
normal,150,200,25
normal,150,225,25
normal,150,250,25
normal,150,275,25
normal,175,75,25
normal,175,100,25
normal,175,250,25
normal,175,275,25
normal,200,75,25
normal,200,100,25
normal,200,250,25
normal,200,275,25
normal,225,75,25
normal,225,100,25
normal,225,250,25
normal,225,275,25
normal,250,75,25
normal,250,100,25
normal,250,250,25
normal,250,275,25
normal,275,75,25
normal,275,100,25
normal,275,250,25
normal,275,275,25
normal,300,75,25
normal,300,100,25
normal,300,125,25
normal,300,150,25
normal,300,175,25
normal,300,200,25
normal,300,225,25
normal,300,250,25
normal,300,275,25
normal,325,75,25
normal,325,100,25
normal,325,125,25
normal,325,150,25
normal,325,175,25
normal,325,200,25
normal,325,225,25
normal,325,250,25
normal,325,275,25
normal,350,75,25
normal,350,100,25
normal,350,125,25
normal,350,150,25
normal,350,175,25
normal,350,200,25
normal,350,225,25
normal,350,250,25
normal,350,275,25
normal,375,75,25
normal,375,100,25
normal,375,125,25
normal,375,225,25
normal,375,250,25
normal,375,275,25
normal,400,75,25
normal,400,100,25
normal,400,125,25
normal,400,150,25
normal,400,175,25
normal,400,200,25
normal,400,225,25
normal,400,250,25
normal,400,275,25
normal,425,75,25
normal,425,100,25
normal,425,125,25
normal,425,150,25
normal,425,175,25
normal,425,200,25
normal,425,225,25
normal,425,250,25
normal,425,275,25
normal,450,75,25
normal,450,100,25
normal,450,250,25
normal,450,275,25
normal,475,75,25
normal,475,100,25
normal,475,250,25
normal,475,275,25
wall,200,125,25
wall,200,150,25
wall,200,175,25
wall,200,200,25
wall,175,125,25
wall,175,150,25
wall,175,175,25
wall,175,200,25
wall,225,125,25
wall,225,150,25
wall,225,175,25
wall,225,200,25
wall,250,125,25
wall,250,150,25
wall,250,175,25
wall,250,200,25
wall,275,125,25
wall,275,150,25
wall,275,175,25
wall,275,200,25
wall,175,225,25
wall,200,225,25
wall,225,225,25
wall,250,225,25
wall,275,225,25
wall,0,125,25
wall,25,125,25
wall,25,150,25
wall,25,175,25
wall,25,200,25
wall,25,225,25
wall,0,225,25
wall,0,200,25
wall,0,175,25
wall,0,150,25
wall,475,125,25
wall,450,125,25
wall,450,150,25
wall,450,175,25
wall,450,200,25
wall,450,225,25
wall,475,225,25
wall,475,200,25
wall,475,175,25
wall,475,150,25
final,225,0,25
