name,x,y,width
normal,150,125,25
normal,150,150,25
normal,175,125,25
normal,300,225,25
normal,325,225,25
normal,150,275,25
normal,150,300,25
normal,175,300,25
normal,175,275,25
normal,0,0,25
normal,25,0,25
normal,50,0,25
normal,75,0,25
normal,100,0,25
normal,125,0,25
normal,125,125,25
normal,125,150,25
normal,125,175,25
normal,125,225,25
normal,125,250,25
normal,125,275,25
normal,125,300,25
normal,125,325,25
normal,150,0,25
normal,150,225,25
normal,150,250,25
normal,150,325,25
normal,175,0,25
normal,175,225,25
normal,175,250,25
normal,175,325,25
normal,200,0,25
normal,200,225,25
normal,200,250,25
normal,200,275,25
normal,200,300,25
normal,200,325,25
normal,225,0,25
normal,225,125,25
normal,225,175,25
normal,225,200,25
normal,225,225,25
normal,225,250,25
normal,225,275,25
normal,225,300,25
normal,225,325,25
normal,250,0,25
normal,250,225,25
normal,250,250,25
normal,250,275,25
normal,250,300,25
normal,250,325,25
normal,275,0,25
normal,275,125,25
normal,275,225,25
normal,275,250,25
normal,275,275,25
normal,275,300,25
normal,275,325,25
normal,300,0,25
normal,300,125,25
normal,300,150,25
normal,300,250,25
normal,300,275,25
normal,300,300,25
normal,300,325,25
normal,325,0,25
normal,325,125,25
normal,325,150,25
normal,325,175,25
normal,325,250,25
normal,325,275,25
normal,325,300,25
normal,350,0,25
normal,375,0,25
normal,400,0,25
normal,425,0,25
normal,450,0,25
normal,475,0,25
normal,325,325,25
normal,25,100,25
normal,100,50,25
normal,50,175,25
normal,450,175,25
normal,450,125,25
normal,375,100,25
normal,425,75,25
normal,400,250,25
normal,75,250,25
wall,200,125,25
wall,200,150,25
wall,175,150,25
wall,175,175,25
wall,200,175,25
wall,175,200,25
wall,200,200,25
wall,250,200,25
wall,250,175,25
wall,150,175,25
wall,150,200,25
wall,275,175,25
wall,275,200,25
wall,300,200,25
wall,250,125,25
wall,250,150,25
wall,275,150,25
wall,300,175,25
wall,325,200,25
wall,125,200,25
final,225,150,25
