name,x,y,width
normal,0,0,25
normal,0,25,25
normal,0,50,25
normal,0,75,25
normal,0,100,25
normal,0,125,25
normal,0,150,25
normal,0,175,25
normal,0,200,25
normal,0,225,25
normal,0,250,25
normal,25,0,25
normal,25,25,25
normal,25,50,25
normal,25,75,25
normal,25,100,25
normal,25,125,25
normal,25,150,25
normal,25,175,25
normal,25,200,25
normal,25,225,25
normal,25,250,25
normal,50,0,25
normal,50,25,25
normal,50,50,25
normal,50,75,25
normal,75,0,25
normal,75,25,25
normal,75,50,25
normal,75,75,25
normal,100,0,25
normal,100,25,25
normal,100,50,25
normal,100,75,25
normal,125,0,25
normal,125,25,25
normal,125,50,25
normal,125,75,25
normal,150,0,25
normal,150,25,25
normal,150,50,25
normal,150,75,25
normal,175,0,25
normal,175,25,25
normal,175,50,25
normal,175,75,25
normal,200,0,25
normal,450,175,25
normal,450,200,25
normal,450,225,25
normal,450,250,25
normal,450,275,25
normal,450,300,25
normal,450,325,25
normal,475,0,25
normal,475,25,25
normal,475,50,25
normal,475,75,25
normal,475,100,25
normal,475,125,25
normal,475,150,25
normal,475,175,25
normal,475,200,25
normal,475,225,25
normal,475,250,25
normal,475,275,25
normal,475,300,25
normal,475,325,25
normal,200,200,25
normal,200,150,25
normal,200,100,25
normal,200,250,25
wall,375,325,25
wall,375,300,25
wall,375,275,25
wall,375,250,25
wall,350,250,25
wall,325,250,25
wall,300,250,25
wall,275,250,25
wall,250,250,25
wall,225,250,25
wall,175,250,25
wall,150,250,25
wall,125,250,25
wall,100,250,25
wall,75,250,25
wall,50,250,25
wall,50,225,25
wall,50,200,25
wall,425,325,25
wall,425,300,25
wall,425,275,25
wall,425,250,25
wall,425,225,25
wall,425,200,25
wall,400,200,25
wall,375,200,25
wall,350,200,25
wall,325,200,25
wall,300,200,25
wall,275,200,25
wall,225,200,25
wall,100,200,25
wall,125,200,25
wall,150,200,25
wall,175,200,25
wall,250,200,25
wall,100,175,25
wall,100,150,25
wall,125,150,25
wall,150,150,25
wall,50,175,25
wall,50,150,25
wall,50,125,25
wall,50,100,25
wall,75,100,25
wall,100,100,25
wall,125,100,25
wall,150,100,25
wall,175,100,25
wall,225,100,25
wall,250,100,25
wall,275,100,25
wall,300,100,25
wall,325,100,25
wall,350,100,25
wall,375,100,25
wall,400,100,25
wall,175,150,25
wall,225,150,25
wall,250,150,25
wall,275,150,25
wall,300,150,25
wall,325,150,25
wall,350,150,25
wall,375,150,25
wall,400,150,25
wall,425,150,25
wall,400,75,25
wall,375,50,25
wall,350,50,25
wall,325,50,25
wall,225,50,25
wall,250,50,25
wall,275,50,25
wall,300,50,25
wall,450,150,25
wall,450,125,25
wall,450,100,25
wall,450,75,25
wall,450,50,25
wall,450,25,25
wall,225,0,25
wall,250,0,25
wall,275,0,25
wall,325,0,25
wall,350,0,25
wall,375,0,25
wall,400,0,25
wall,425,0,25
wall,450,0,25
wall,300,0,25
wall,400,50,25
final,200,25,25
